date,price
2005- 11- 09,"1,048.40"
2005- 11- 10,"1,046.50"
2005- 11- 11,"1,041.30"
2005- 11- 14,"1,039.50"
2005- 11- 15,"1,034.50"
2005- 11- 16,"1,036.50"
2005- 11- 17,"1,033.50"
2005- 11- 18,"1,037.50"
2005- 11- 21,"1,037.50"
2005- 11- 22,"1,043.50"
2005- 11- 23,"1,036.50"
2005- 11- 24,"1,037.80"
2005- 11- 25,"1,041.50"
2005- 11- 28,"1,039.50"
2005- 11- 29,"1,038.50"
2005- 11- 30,"1,037.50"
2005- 12- 01,"1,036.50"
2005- 12- 02,"1,034.50"
2005- 12- 05,"1,036.50"
2005- 12- 06,"1,034.50"
2005- 12- 07,"1,035.50"
2005- 12- 08,"1,034.50"
2005- 12- 09,"1,035.50"
2005- 12- 12,"1,032.60"
2005- 12- 13,"1,026.50"
2005- 12- 14,"1,013.50"
2005- 12- 15,"1,015.50"
2005- 12- 16,"1,017.50"
2005- 12- 19,"1,016.50"
2005- 12- 20,"1,017.40"
2005- 12- 21,"1,018.40"
2005- 12- 22,"1,014.75"
2005- 12- 23,"1,013.60"
2005- 12- 26,"1,011.85"
2005- 12- 27,"1,012.45"
2005- 12- 28,"1,013.50"
2005- 12- 29,"1,010.50"
2005- 12- 30,"1,007.50"
2006- 01- 02,"1,012.82"
2006- 01- 03,"1,004.50"
2006- 01- 04,998.35
2006- 01- 05,994.75
2006- 01- 06,989.30
2006- 01- 09,977.45
2006- 01- 10,982.05
2006- 01- 11,984.70
2006- 01- 12,974.10
2006- 01- 13,987.65
2006- 01- 16,982.45
2006- 01- 17,989.05
2006- 01- 18,992.15
2006- 01- 19,981.00
2006- 01- 20,986.70
2006- 01- 23,981.50
2006- 01- 24,975.60
2006- 01- 25,968.70
2006- 01- 26,969.00
2006- 01- 27,970.80
2006- 01- 30,970.80
2006- 01- 31,959.87
2006- 02- 01,962.10
2006- 02- 02,972.40
2006- 02- 03,970.15
2006- 02- 06,963.10
2006- 02- 07,968.25
2006- 02- 08,971.75
2006- 02- 09,972.75
2006- 02- 10,967.80
2006- 02- 13,976.00
2006- 02- 14,969.00
2006- 02- 15,973.00
2006- 02- 16,974.55
2006- 02- 17,972.80
2006- 02- 20,967.75
2006- 02- 21,968.55
2006- 02- 22,974.60
2006- 02- 23,965.50
2006- 02- 24,966.40
2006- 02- 27,968.85
2006- 02- 28,971.00
2006- 03- 01,968.55
2006- 03- 02,969.20
2006- 03- 03,971.35
2006- 03- 06,974.95
2006- 03- 07,976.70
2006- 03- 08,982.05
2006- 03- 09,982.20
2006- 03- 10,980.10
2006- 03- 13,980.80
2006- 03- 14,977.05
2006- 03- 15,974.90
2006- 03- 16,975.05
2006- 03- 17,971.20
2006- 03- 20,967.00
